/,Components and Methods,,,,,,,,,,,,,,,,,,,,,,,Properties of Interfaces,,,,Physical Properties of Matrix,,,,,,,,,,,,Properties of Reinforcement/Fiber,,,,,,,,,,,,,,Tensile Testing,,,,,,,,,,,
Serial Number !,Matrix ,Reinforcement,Fiber Manufacturer,Fiber Type,Interphase-1,PyC,SiC,BN,Interphase-1 Thickness,Interphase Layers,Interphase-2,Interphase-2 Thickness,,Interface Texture,Coating,Infiltration Method,Method of Fabrication(2),Fabrication Temperature ,Fabrication Time,Gas Precursor,Oxidation Temperature,Oxidation Environment,Oxidation Time,Overall Interphase thickness,Interface Shear Stress,Interface debounds Energy,Irradiation,Volume Fraction,Matrix Density,Residual Porosity,coefficient of thermal expansion,Section ,Number,Young Modulus,Weibull modulus,Deformation at onset of Matrix Cracking,Force at onset of Matrix cracking,Matrix Crack Spacing,Scale Factor,Fiber Density,Mean Fiber pull-out,Fiber's coefficient of thermal expansion,Fiber Volume Fractions,Section,Number of Fibers per Tow,Fiber Radius,Weibull parameters,Cricital fractions of individual fiber breaks,Tensile Strength,Fiber Tensile Modulus or Young modulus or Tensile Modulus,Strain to Failure,Fiber Residual Strength,Scale Factor,Tensile Strength ,Tensile Young's Modulus,Tensile Fracture Strain,Tensile Testing Temperature,Critical Broken Fiber's Fraction,Forces at Ultimate Fracture,Creep compliances,Residual Modulus,Change in Weight Ratio,Literature Link,Checked by,comments
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.57,3.2,,4.6,,,,,,,,,2.74,,3.5,0.43,,500,7,,,,270,,,,590.3,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.57,3.2,,4.6,,,,,,,,,2.74,,3.5,0.43,,500,7,,,,270,,,,602.42,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.772,3.2,,4.6,,,,,0.08,208 MPa,,,3.1,,4.5,0.228,,500,6,,,,400,,,,490,,0.22,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.89,3.2,,4.6,,,,,,,,,3.1,,4.5,0.11,,500,6,,,,400,,,,253.33,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.84,3.2,,4.6,,,,,,148 MPa,,,3.1,,4.5,0.16,,500,6,,,,400,,,,292.12,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.82,3.2,,4.6,,,,,,,,,3.1,,4.5,0.18,,500,6,,,,400,,,,282.42,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.78,3.2,,4.6,,,,,,,,,3.1,,4.5,0.22,,500,6,,,,400,,,,275.15,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.77,3.2,,4.6,,,,,,,,,3.1,,4.5,0.23,,500,6,,,,400,,,,488.48,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.82,3.2,,4.6,,,,,,,,,3.1,,4.5,0.18,,500,6,,,,400,,,,534.55,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.76,3.2,,4.6,,,,,,,,,3.1,,4.5,0.24,,500,6,,,,400,,,,774.55,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.76,3.2,,4.6,,,,,,,,,3.1,,4.5,0.24,,500,6,,,,400,,,,706.67,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.75,3.2,,4.6,,,,,,,,,3.1,,4.5,0.25,,500,6,,,,400,,,,711.52,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.74,3.2,,4.6,,,,,,,,,3.1,,4.5,0.26,,500,6,,,,400,,,,682.42,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.65,3.2,,4.6,,,,,,,,,3.1,,4.5,0.35,,500,6,,,,400,,,,806.06,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.61,3.2,,4.6,,,,,,483 MPa,,,3.1,,4.5,0.39,,500,6,,,,400,,,,1048.48,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.62,3.2,,4.6,,,,,,,,,3.1,,4.5,0.38,,500,6,,,,400,,,,1123.64,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon S Type-1,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.6,3.2,,4.6,,,,,,,,,3.1,,4.5,0.4,,500,6,,,,400,,,,1215.76,,,Room Temperature,,,,,,,,
,SiC,SiC,ZMI,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.725,3.2,,4.6,,,,,,,,,2.35,,4,0.275,,400,5.5,,,,170,,,,220,,0.1,Room Temperature,,,,,,,,
,SiC,SiC,ZMI,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.76,3.2,,4.6,,,,,,,,,2.35,,4,0.24,,400,5.5,,,,170,,,,459.39,,,Room Temperature,,,,,,,,
,SiC,SiC,ZMI,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.77,3.2,,4.6,,,,,,,,,2.35,,4,0.23,,400,5.5,,,,170,,,,469.09,,,Room Temperature,,,,,,,,
,SiC,SiC,ZMI,,BN,0,0,1,,,,,,,,,,94,32,,,,,1000,,,,0.83,3.2,,4.6,,,,,0.06,170 MPa,,,2.35,,4,0.17,,400,,,,,,,,,,,,,,,,,,,,
,SiC,SiC,ZMI,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,11,3.4 J/m^2,,0.72,3.2,,4.6,,,,,,,,,2.35,,4,0.28,,400,5.5,,,,170,,,,503.03,,,Room Temperature,,,,,,,,
16,SiC,SiC,,,BN,0,0,1,,,,,,,,CVI,CVI (SiC overcoat),1100 (SiC),,trichloromethylsilane (SiC overcoat),,,,3500,20.01,,,0.55,,,,,,,,,,,,2.9,,,0.45,,,6.15,,,2,280,,,,329.91,,,Room Temperature,,,,,0,https://doi.org/10.1016/j.jeurceramsoc.2019.04.013,KD,
,SiC,SiC,,,BN,0,0,1,,,,,,,,CVI,CVI (SiC overcoat),1100 (SiC),,trichloromethylsilane (SiC overcoat),1000,air,2 hours,3500,35.31,,,0.55,,,,,,,,,,,,2.9,,,0.45,,,6.27,,,2,280,,,,365.25,,,Room Temperature,,,,,-0.66,,,
,SiC,SiC,,,BN,0,0,1,,,,,,,,CVI,CVI (SiC overcoat),1100 (SiC),,trichloromethylsilane (SiC overcoat),1200,air,2 hours,3500,,,,0.55,,,,,,,,,,,,2.9,,,0.45,,,6,,,2,280,,,,310.02,,,Room Temperature,,,,,0.01,,,
,SiC,SiC,,,BN,0,0,1,,,,,,,,CVI,CVI (SiC overcoat),1100 (SiC),,trichloromethylsilane (SiC overcoat),1300,air,2 hours,3500,45.02,,,0.55,,,,,,,,,,,,2.9,,,0.45,,,6.17,,,2,280,,,,283.01,,,Room Temperature,,,,,0.26,,,
,SiC,SiC,,,BN,0,0,1,,,,,,,,CVI,CVI (SiC overcoat),1100 (SiC),,trichloromethylsilane (SiC overcoat),1400,air,2 hours,3500,,,,0.55,,,,,,,,,,,,2.9,,,0.45,,,6,,,2,280,,,,265.8,,,Room Temperature,,,,,0.68,,,
,SiC,SiC,,,BN,0,0,1,,,,,,,,CVI,CVI (SiC overcoat),1100 (SiC),,trichloromethylsilane (SiC overcoat),1500,air,2 hours,3500,54.12,,,0.55,,,,,,,,,,,,2.9,,,0.45,,,6.11,,,2,280,,,,205.73,,,Room Temperature,,,,,1.22,,,
17,SiC,SiC,Nippon Carbon,Hi-Nicalon Type S,BN,0,0,1,1.9 ± 0.6,,,,,,,CVI,CVI (SiC overcoat),94,32,,,,,1900,34.5 ± 13,5.5 ± 3.9,,0.41,3.2,,,,,,,,173 MPa,,,3.1,,,0.34,,,,,,,,,,,1050,,,Room Temperature,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2020.05.077,KD,also used values from her dissertation
,SiC,SiC,Nippon Carbon,Hi-Nicalon Type S,BN,0,0,1,0.30 ± 0.08,,,,,,,CVI,CVI (SiC overcoat),94,32,,,,,300,18.1 ± 4.8,1.2 ± 0.5,,0.75,3.2,,,,,,,,173 MPa,,,3.1,,,0.23,,,,,,,,,,,690,,,Room Temperature,,,,,,,,
18,,SiC,"Boxiang New Material Co., China",BX,,0,0,0,,,,,,,,CVI,PIP,1200,,N2,,,,400,30,0.1,,0.77,,,4.5,,,20,2,,,,,,50,3.5,0.23,,500,6,5,,,140,,,,,,,Room Temperature,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2021.06.050,AH,
,SiC,SiC,"Boxiang New Material Co., China",BX,,0,0,0,,,,,,,,CVI,PIP,1200,,N2,,,,400,30,0.1,,0.77,,,4.5,,,20,2,,,,,,50,3.5,0.23,,500,6,5,,,140,,,,148,,0.58,Room Temperature,0.14,,,,,,,
,SiC,SiC ,"Boxiang New Material Co., China",BX,,0,0,0,,,,,,,,CVI,PIP,1200,,N2,,,,400,30,0.1,,0.77,,,4.5,,,20,2,,,,,,50,3.5,0.23,,500,6,5,,,140,,,,177,,0.88,Room Temperature,0.14,,,,,,,
,SiC,SiC,"Boxiang New Material Co., China",BX,,0,0,0,,,,,,,,CVI,PIP,1200,,N2,,,,400,30,0.1,,0.77,,,4.5,,,20,2,,,,,,50,3.5,0.23,,500,6,5,,,140,,,,213,,0.65,Room Temperature,0.14,,,,,,,
,SiC,SiC,"Boxiang New Material Co., China",BX,PyC,1,0,0,0.3-0.5,Single,,,,,,CVI,PIP,1200,,N2,,,,400,20,3,,,,,4.6,,,20,3,,,,,,60,3.5,0.23,,500,6,5,,,120,,,,,,,Room Temperature,,,,,,,,
,SiC,SiC,"Boxiang New Material Co., China",BX,PyC,1,0,0,0.3-0.5,Single,,,,,,CVI,PIP,1200,,N2,,,,400,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,185,,0.58,Room Temperature,0.14,,,,,,,
,SiC,SiC,"Boxiang New Material Co., China",BX,PyC,1,0,0,0.3-0.5,Single,,,,,,CVI,PIP,1200,,N2,,,,400,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,217,,0.78,Room Temperature,0.11,,,,,,,
,SiC,SiC,"Boxiang New Material Co., China",BX,PyC,1,0,0,0.3-0.5,Single,,,,,,CVI,PIP,1200,,N2,,,,400,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,229,,0.82,Room Temperature,0.11,,,,,,,
,SiC,SiC,"Liya New Material Co., China",Cansas-3303,PyC,1,0,0,0.3-0.5,Single,,,,,,CVI,PIP,1200,,N2,,,,400,40,3.5,,,,,4.6,,,,5,,,,,,110,3.5,0.2,,500,,5,,,170,,,,,,,Room Temperature,,,,,,,,
,SiC,SiC,"Liya New Material Co., China",Cansas-3304,PyC,1,0,0,0.3-0.5,Single,,,,,,CVI,PIP,1200,,N2,,,,400,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,447,,1.28,Room Temperature,0.14,,,,,,,
,SiC,SiC,"Liya New Material Co., China",Cansas-3305,PyC,1,0,0,0.3-0.5,Single,,,,,,CVI,PIP,1200,,N2,,,,400,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,454,,1.34,Room Temperature,0.14,,,,,,,
,SiC,SiC,"Liya New Material Co., China",Cansas-3306,PyC,1,0,0,0.3-0.5,Single,,,,,,CVI,PIP,1200,,N2,,,,400,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,484,,1.43,Room Temperature,0.14,,,,,,,
22,SiC,SiC,Nippon Carbon,Nicalon NL 202,C,0,0,0,,Single,,,,,,CVI,,1100,,,,,,,80,,,0.61,3.2,7.5 ± 2.8,,,,,6.24,0.052,36,79 mum,,,69 ± 47,,31.5 ± 4,,500,,6.24?,16.76,,,,,,,262 ± 22,0.64,Room Temperature,,125,,,,https://doi.org/10.1016/S1359-6454(96)00224-8,KD/BB,
,SiC,SiC,Nippon Carbon,Nicalon NL 203,C,0,0,0,,Single,,,,,,CVI,,1100,,,,,,,40,,,0.7,3.2,14 ± 8.8,,,,,5.14,0.041,54,510 mum,,,43 ± 24,,16 ± 3.5,,500,,5.14?,16.76,,,,,,,295 ± 27,0.41,Room Temperature,,145,,,,,,
23,SiC,SiC,KD-I (in-situ),,PyC,1,0,0,,Single,,,,,,CVI,,1100 (heat treat),500h (heat treat),Ar (heat treat),,,,,17,,,0.675,,,4.6,,,350,,,,,,,,3.1,0.325,,1000,6.5,,,,141,,,,570,,,,,,,,,https://doi.org/10.1016/j.compositesb.2018.11.044,BB,
24,SiC,SiC,,,PyC,1,0,0,250,Single,,,,,,CVI,,900,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,https://www.osti.gov/servlets/purl/249275,BB,
27,SiC,SiC,,,uncoated,0,0,0,,None,,,,,,PIP,,1100,2@250 + 2@1100,Ar,,,,0,,,,,,,,,,192,,,,,,2.34,,,0.6118,,500,6,14.9,,0.3008,185,,,,454,61.4,0.67,,,77.6,,,,https://doi.org/10.1177%2F00219983211073512,BB,
,SiC,SiC,,,BN-SiC,0,1,1,500,Single,,,,,,PIP,,1100,2@250 + 2@1100,Ar,,,,1000,,,,,,,,,,192,,,,,,2.29,,,0.45,,500,6,12,,0.1932,185,,,,609.4,68.2,1.31,,,106.4,,,,,,
,SiC,SiC,,,BN-SiC-BN-SiC,0,2,2,500,Double,BN-SiC,500,,,,PIP,,1100,2@250 + 2@1100,Ar,,,,2000,,,,,,,,,,192,,,,,,2.25,,,0.45,,500,6,9.3,,0.2189,185,,,,620.3,64.7,1.51,,,110.3,,,,,,
,SiC,SiC,,,(BN-SiC-BN-SiC)2,0,4,4,800,Double,BN-SiC,500,,,,PIP,,1100,2@250 + 2@1100,Ar,,,,2300,,,,,,,,,,192,,,,,,2.29,,,0.45,,500,6,8.4,,0.2179,185,,,,630.9,72.1,1.64,,,110.2,,,,,,
29,SiC,SiC,Nicalon,,PyC,1,0,0,0.1,,,,,,,CVI,,1100,,,,,,,4,,,0.58,3.2,,4.6,,,400,,,,,,2.55,0.37-0.75,3.3,0.42,,,7,3.5,,,200,,,,,,,,,,,,,https://doi.org/10.1007/s10853-019-04255-4 ,BB,
