Serial Number !,Interphase-1,Coating,PyC,SiC,BN,Fabrication Temperature ,Fabrication Time,Overall Interphase thickness,Fiber Density,Fiber Volume Fractions,Number of Fibers per Tow,Fiber Radius,Fiber Tensile Modulus or Young modulus or Tensile Modulus,Tensile Strength ,Tensile Young's Modulus,Tensile Fracture Strain,Tensile Testing Temperature
,PyC,,1,0,0,1200,N2,400,,,,,,484,,1.43,25
27,uncoated,,0,0,0,1100,4,0,2.34,,,6,,454,61.4,0.67,
,BN-SiC,,0,1,1,1100,4,1000,2.29,,,6,,609.4,68.2,1.31,
,BN-SiC-BN-SiC,,0,2,2,1100,4,2000,2.25,,,6,,620.3,64.7,1.51,
,BN-SiC-BN-SiC,,0,2,2,1100,4,2300,2.29,,,6,,630.9,72.1,1.64,
31,SiC,,0,1,0,,,600,,0.185,,6.5,380,750,,0.25,
,BN-SiC-BN,,0,1,2,,,600,,0.195,,6.5,380,820,,0.26,
,BN-SiC-BN-SiC-BN,,0,2,2,,,600,,0.185,,6.5,380,825,,0.26,
32,PyC,,1,0,0,1000,,150,2.98,0.46,500,6.5,372,870,400,0.61,25
,PyC,,1,0,0,1000,,150,3.1,0.43,1600,3.5,387,855,420,0.38,25
,PyC-SiC-PyC-SiC-PyC,,3,2,0,1000,,150,2.98,0.46,500,6.5,372,980,390,0.69,25
,PyC-SiC-PyC-SiC-PyC,,3,2,0,1000,,150,3.1,0.43,1600,3.5,387,600,415,0.15,25
,PyC-SiC-PyC-SiC-PyC,,3,2,0,1000,,150,2.98,0.44,500,6.5,372,880,420,0.63,25
,PyC,,1,0,0,1000,,30,2.98,0.4,500,6.5,372,830,410,0.6,25
33,PyC,,1,0,0,1000,80,200,,0.3,3000,,,350,124,0.6,
34,,,0,0,0,1100,40,500,1.76,0.661,3000,3.5,230,502.7,,1.1,
,,,0,0,0,1100,40,650,1.78,0.673,3000,3.5,230,371.4,,0.75,
,,,0,0,0,1100,40,800,1.76,0.805,6000,3.5,230,490.7,,0.45,
35,PyC,,1,0,0,1300,100,150,2.5,0.45,,,,485.6,90.2,0.658,
,PyC,,1,0,0,1300,100,150,2.5,0.45,,,,502.6,92.4,0.683,
,PyC,,1,0,0,1300,100,150,2.5,0.45,,,,507.8,95.9,0.642,
,PyC,,1,0,0,1300,100,150,2.5,0.45,,,,494.7,92.1,0.648,
,PyC,,1,0,0,1300,100,200,2.6,0.45,,,,262.8,71,0.374,
,PyC,,1,0,0,1300,100,200,2.6,0.45,,,,258.3,70.2,0.366,
,PyC,,1,0,0,1300,100,200,2.6,0.45,,,,253.5,71.5,0.383,
,PyC,,1,0,0,1300,100,200,2.6,0.45,,,,268.1,83.5,0.366,
36,BN,,0,0,1,1050,,500,1.5,0.1,,7,200,310,381,0.9,
,BN,,0,0,1,1400,,750,1.76,0.16,,6.5,280,440,379,0.76,
,BN,,0,0,1,1400,,450,1.5,0.16,,4.5,380,450,397,0.27,
